session_id,shift_description,date,start_time,duration_minutes,end_time,start_datetime,end_datetime,campuses,campus_count,tasks,task_count,baseline_invigilator_count,code_date_part,code_shift_number,description_shift_numbers,code_date_matches_dataset_date,code_shift_matches_description,date_consistent_within_session,start_time_consistent_within_session,duration_consistent_within_session,description_shift_consistent_within_session
20260518_5,"Thứ 2, 18/05/2026, Ca 5: 18g15-20g45",2026-05-18,18:15,150.0,20:45,2026-05-18T18:15:00,2026-05-18T20:45:00,Cơ sở 1,1,LTK_CBCT,1,2,20260518,5,5,True,True,True,True,True,True
20260519_5,"Thứ 3, 19/05/2026, Ca 5: 18g15-20g45",2026-05-19,18:15,150.0,20:45,2026-05-19T18:15:00,2026-05-19T20:45:00,Cơ sở 1,1,LTK_CBCT,1,3,20260519,5,5,True,True,True,True,True,True
20260521_5,"Thứ 5, 21/05/2026, Ca 5: 18g15-20g45",2026-05-21,18:15,150.0,20:45,2026-05-21T18:15:00,2026-05-21T20:45:00,Cơ sở 1,1,LTK_CBCT,1,2,20260521,5,5,True,True,True,True,True,True
20260522_5,"Thứ 6, 22/05/2026, Ca 5: 18g15-20g45",2026-05-22,18:15,150.0,20:45,2026-05-22T18:15:00,2026-05-22T20:45:00,Cơ sở 1,1,LTK_CBCT,1,2,20260522,5,5,True,True,True,True,True,True
20260523_3,"Thứ 7, 23/05/2026, Ca 3: 13g00-15g30",2026-05-23,13:00,150.0,15:30,2026-05-23T13:00:00,2026-05-23T15:30:00,Cơ sở 1,1,LTK_CBCT,1,6,20260523,3,3,True,True,True,True,True,True
20260525_2,"Thứ 2, 25/05/2026, Ca 2: 09g30-12g00",2026-05-25,09:30,150.0,12:00,2026-05-25T09:30:00,2026-05-25T12:00:00,Cơ sở 2,1,DiAn_CBCT; DiAn_Thư ký,2,17,20260525,2,2,True,True,True,True,True,True
20260525_5,"Thứ 2, 25/05/2026, Ca 5: 18g15-20g45",2026-05-25,18:15,150.0,20:45,2026-05-25T18:15:00,2026-05-25T20:45:00,Cơ sở 1,1,LTK_CBCT,1,3,20260525,5,5,True,True,True,True,True,True
20260526_5,"Thứ 3, 26/05/2026, Ca 5: 18g15-20g45",2026-05-26,18:15,150.0,20:45,2026-05-26T18:15:00,2026-05-26T20:45:00,Cơ sở 1,1,LTK_CBCT,1,2,20260526,5,5,True,True,True,True,True,True
20260527_2,"Thứ 4, 27/05/2026, Ca 2: 09g30-12g00",2026-05-27,09:30,150.0,12:00,2026-05-27T09:30:00,2026-05-27T12:00:00,Cơ sở 2,1,DiAn_Thư ký,1,2,20260527,2,2,True,True,True,True,True,True
20260527_4,"Thứ 4, 27/05/2026, Ca 4: 15g30-18g00",2026-05-27,15:30,150.0,18:00,2026-05-27T15:30:00,2026-05-27T18:00:00,Cơ sở 1,1,LTK_Trưởng HĐ,1,1,20260527,4,4,True,True,True,True,True,True
